"TranscriptID","ProteinID","GeneID"
"XM_022476553.1","sacsin-like","LOC111129980"
"XM_022476554.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476555.1","sacsin-like","LOC111129980"
"XM_022476556.1","sacsin-like","LOC111129980"
"XM_022476557.1","sacsin-like","LOC111129980"
"XM_022476558.1","sacsin-like","LOC111129981"
"XM_022476559.1","uncharacterized","LOC111129982"
"XM_022476560.1","uncharacterized","LOC111129982"
"XM_022476561.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476562.1","kinesin-like protein KIF28P","LOC111129985"
"XM_022476563.1","dual oxidase 2-like","LOC111129986"
"XM_022476564.1","uncharacterized","LOC111129987"
"XM_022476565.1","uncharacterized","LOC111129988"
"XM_022476566.1","uncharacterized","LOC111129989"
"XM_022476567.1","uncharacterized","LOC111129989"
"XM_022476568.1","uncharacterized","LOC111129990"
"XM_022476569.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476570.1","perlucin-like protein","LOC111129991"
"XM_022476571.1","dual oxidase 2-like","LOC111129994"
"XM_022476572.1","dual oxidase 2-like","LOC111129994"
"XM_022476573.1","differentially expressed in FDCP 8 homolog A-like","LOC111129968"
"XM_022476574.1","ubiquilin-1-like","LOC111129995"
"XM_022476575.1","cAMP-regulated phosphoprotein 19-A-like","LOC111129996"
"XM_022476576.1","ras guanyl-releasing protein 3-like","LOC111129997"
"XM_022476577.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476578.1","ubiquitin-like modifier-activating enzyme 1","LOC111129998"
"XM_022476579.1","ubiquitin-like modifier-activating enzyme 1","LOC111129998"
"XM_022476580.1","ubiquitin-like modifier-activating enzyme 1","LOC111129998"
"XM_022476581.1","ubiquitin-like modifier-activating enzyme 1","LOC111129998"
"XM_022476582.1","fasciculation and elongation protein zeta-2-like","LOC111129999"
"XM_022476583.1","uncharacterized","LOC111130000"
"XM_022476584.1","uncharacterized","LOC111130000"
"XM_022476585.1","uncharacterized","LOC111130000"
"XM_022476586.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476587.1","mucosa-associated lymphoid tissue lymphoma translocation protein 1-like","LOC111130001"
"XM_022476588.1","TM2 domain-containing protein CG10795-like","LOC111130002"
"XM_022476589.1","calmodulin-beta-like","LOC111130003"
"XM_022476590.1","calmodulin-beta-like","LOC111130003"
"XM_022476591.1","neo-calmodulin-like","LOC111130004"
"XM_022476592.1","neo-calmodulin-like","LOC111130004"
"XM_022476593.1","calmodulin-A-like","LOC111130005"
"XM_022476594.1","calmodulin-A-like","LOC111130005"
"XM_022476595.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476596.1","neo-calmodulin-like","LOC111130006"
"XM_022476597.1","neo-calmodulin-like","LOC111130007"
"XM_022476598.1","calcium-binding protein LPS1-alpha-like","LOC111130008"
"XM_022476599.1","insulin gene enhancer protein isl-1-like","LOC111130009"
"XM_022476600.1","insulin gene enhancer protein isl-1-like","LOC111130009"
"XM_022476601.1","insulin gene enhancer protein isl-1-like","LOC111130009"
"XM_022476602.1","uncharacterized","LOC111130010"
"XM_022476603.1","uncharacterized","LOC111130010"
"XM_022476604.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476605.1","uncharacterized","LOC111130010"
"XM_022476606.1","cilia- and flagella-associated protein 53-like","LOC111130011"
"XM_022476607.1","spindle and kinetochore-associated protein 1-like","LOC111130012"
"XM_022476608.1","spindle and kinetochore-associated protein 1-like","LOC111130012"
"XM_022476609.1","spindle and kinetochore-associated protein 1-like","LOC111130012"
"XM_022476610.1","rho-related GTP-binding protein RhoD-like","LOC111130013"
"XM_022476611.1","calmodulin-beta-like","LOC111130014"
"XM_022476612.1","calmodulin-beta-like","LOC111130014"
"XM_022476613.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476614.1","calmodulin-beta-like","LOC111130015"
"XM_022476615.1","calmodulin-like","LOC111130016"
"XM_022476616.1","ribosomal protein S6 kinase alpha-5-like","LOC111130017"
"XM_022476617.1","WD repeat-containing protein 25-like","LOC111130018"
"XM_022476618.1","WD repeat-containing protein 25-like","LOC111130018"
"XM_022476619.1","BTB/POZ domain-containing protein 6-like","LOC111130019"
"XM_022476620.1","tryptophan--tRNA ligase, cytoplasmic-like","LOC111130020"
"XM_022476621.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476622.1","Golgi resident protein GCP60-like","LOC111130021"
"XM_022476623.1","Golgi resident protein GCP60-like","LOC111130021"
"XM_022476624.1","Golgi resident protein GCP60-like","LOC111130021"
"XM_022476625.1","aftiphilin-like","LOC111130022"
"XM_022476626.1","aftiphilin-like","LOC111130022"
"XM_022476627.1","nuclear export mediator factor NEMF-like","LOC111130023"
"XM_022476628.1","collagen alpha-1(XII) chain-like","LOC111130024"
"XM_022476629.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476630.1","phenylalanine--tRNA ligase, mitochondrial-like","LOC111130025"
"XM_022476631.1","phenylalanine--tRNA ligase, mitochondrial-like","LOC111130025"
"XM_022476632.1","LYR motif-containing protein 4B-like","LOC111130026"
"XM_022476633.1","G-protein coupled receptor 98-like","LOC111130027"
"XM_022476634.1","major facilitator superfamily domain-containing protein 12-like","LOC111130028"
"XM_022476635.1","putative oxidoreductase YteT","LOC111130029"
"XM_022476636.1","putative oxidoreductase YteT","LOC111130029"
"XM_022476637.1","putative oxidoreductase YteT","LOC111130029"
"XM_022476638.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476639.1","putative oxidoreductase YteT","LOC111130029"
"XM_022476640.1","inter-alpha-trypsin inhibitor heavy chain H4-like","LOC111130031"
"XM_022476641.1","solute carrier family 22 member 6-A-like","LOC111130032"
"XM_022476642.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476643.1","solute carrier family 22 member 6-A-like","LOC111130033"
"XM_022476644.1","organic cation transporter protein-like","LOC111130034"
"XM_022476645.1","solute carrier family 22 member 8-like","LOC111130035"
"XM_022476646.1","organic cation transporter protein-like","LOC111130036"
"XM_022476647.1","organic cation transporter protein-like","LOC111130036"
"XM_022476648.1","organic cation transporter protein-like","LOC111130037"
"XM_022476649.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476650.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476651.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476652.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476653.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476654.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476655.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476656.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476657.1","solute carrier family 22 member 6-B-like","LOC111130038"
"XM_022476658.1","calpain-B-like","LOC111130040"
"XM_022476659.1","calpain-B-like","LOC111130040"
"XM_022476660.1","calpain-B-like","LOC111130040"
"XM_022476661.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476662.1","calpain-B-like","LOC111130040"
"XM_022476663.1","calpain-B-like","LOC111130040"
"XM_022476664.1","calpain-B-like","LOC111130040"
"XM_022476665.1","calpain-B-like","LOC111130040"
"XM_022476666.1","calpain-B-like","LOC111130040"
"XM_022476667.1","calpain-B-like","LOC111130040"
"XM_022476668.1","calpain-B-like","LOC111130040"
"XM_022476669.1","calpain-B-like","LOC111130040"
"XM_022476670.1","calpain-B-like","LOC111130040"
"XM_022476671.1","calpain-B-like","LOC111130040"
"XM_022476672.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476673.1","calpain-B-like","LOC111130040"
"XM_022476674.1","calpain-B-like","LOC111130040"
"XM_022476675.1","calpain-B-like","LOC111130040"
"XM_022476676.1","calpain-B-like","LOC111130040"
"XM_022476677.1","calpain-B-like","LOC111130040"
"XM_022476678.1","calpain-B-like","LOC111130040"
"XM_022476679.1","calpain-B-like","LOC111130040"
"XM_022476680.1","calpain-B-like","LOC111130040"
"XM_022476681.1","calpain-B-like","LOC111130040"
"XM_022476682.1","calpain-B-like","LOC111130040"
"XM_022476683.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476684.1","coiled-coil domain-containing protein 97-like","LOC111130041"
"XM_022476685.1","coiled-coil domain-containing protein 97-like","LOC111130041"
"XM_022476686.1","coiled-coil domain-containing protein 97-like","LOC111130041"
"XM_022476687.1","activating transcription factor 3-like","LOC111130042"
"XM_022476688.1","activating transcription factor 3-like","LOC111130042"
"XM_022476689.1","activating transcription factor 3-like","LOC111130042"
"XM_022476690.1","cyclic AMP-dependent transcription factor ATF-4-like","LOC111130043"
"XM_022476691.1","uncharacterized","LOC111130044"
"XM_022476692.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476693.1","chondroitin sulfate synthase 1-like","LOC111130046"
"XM_022476694.1","cilia- and flagella-associated protein 53-like","LOC111130047"
"XM_022476695.1","spindle and kinetochore-associated protein 1-like","LOC111130048"
"XM_022476696.1","spindle and kinetochore-associated protein 1-like","LOC111130048"
"XM_022476697.1","spindle and kinetochore-associated protein 1-like","LOC111130048"
"XM_022476698.1","spindle and kinetochore-associated protein 1-like","LOC111130048"
"XM_022476699.1","uncharacterized","LOC111130049"
"XM_022476700.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476701.1","fibrocystin-L-like","LOC111130050"
"XM_022476702.1","fibrocystin-L-like","LOC111130050"
"XM_022476703.1","thyroid adenoma-associated protein homolog","LOC111130051"
"XM_022476704.1","thyroid adenoma-associated protein homolog","LOC111130051"
"XM_022476705.1","60S acidic ribosomal protein P0-like","LOC111130039"
"XM_022476706.1","thyroid adenoma-associated protein homolog","LOC111130051"
"XM_022476707.1","thyroid adenoma-associated protein homolog","LOC111130051"
"XM_022476708.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476709.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476710.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476711.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476712.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476713.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476714.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476715.1","pleckstrin homology domain-containing family H member 1-like","LOC111130052"
"XM_022476716.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476717.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476718.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476719.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476720.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476721.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476722.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476723.1","methyltransferase-like protein 25","LOC111130053"
"XM_022476724.1","uncharacterized","LOC111130054"
"XM_022476725.1","uncharacterized","LOC111130054"
"XM_022476726.1","acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like","LOC111130055"
"XM_022476727.1","acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like","LOC111130055"
"XM_022476728.1","acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like","LOC111130055"
"XM_022476729.1","uncharacterized","LOC111130056"
"XM_022476730.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476731.1","DNA polymerase alpha subunit B-like","LOC111130057"
"XM_022476732.1","O-acetyl-ADP-ribose deacetylase MACROD2-like","LOC111130058"
"XM_022476733.1","O-acetyl-ADP-ribose deacetylase MACROD2-like","LOC111130058"
"XM_022476734.1","uncharacterized","LOC111130060"
"XM_022476735.1","uncharacterized","LOC111130060"
"XM_022476736.1","uncharacterized","LOC111130060"
"XM_022476737.1","uncharacterized","LOC111130060"
"XM_022476738.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476739.1","uncharacterized","LOC111130061"
"XM_022476740.1","limbic system-associated membrane protein-like","LOC111130062"
"XM_022476741.1","leucine-rich repeat-containing protein 9-like","LOC111130063"
"XM_022476742.1","leucine-rich repeat-containing protein 9-like","LOC111130063"
"XM_022476743.1","leucine-rich repeat-containing protein 9-like","LOC111130063"
"XM_022476744.1","leucine-rich repeat-containing protein 9-like","LOC111130063"
"XM_022476745.1","semaphorin-1A-like","LOC111130064"
"XM_022476746.1","protein SMG5-like","LOC111130065"
"XM_022476747.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476748.1","uncharacterized","LOC111130066"
"XM_022476749.1","putative transcription factor p65 homolog","LOC111130067"
"XM_022476750.1","splicing factor 3B subunit 2-like","LOC111130068"
"XM_022476751.1","arrestin domain-containing protein 17-like","LOC111130069"
"XM_022476752.1","arrestin domain-containing protein 17-like","LOC111130069"
"XM_022476753.1","zinc finger FYVE domain-containing protein 26-like","LOC111130070"
"XM_022476754.1","zinc finger FYVE domain-containing protein 26-like","LOC111130070"
"XM_022476755.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476756.1","Golgi resident protein GCP60-like","LOC111130071"
"XM_022476757.1","Golgi resident protein GCP60-like","LOC111130071"
"XM_022476758.1","Golgi resident protein GCP60-like","LOC111130071"
"XM_022476759.1","McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin-like","LOC111130072"
"XM_022476760.1","uncharacterized","LOC111130073"
"XM_022476761.1","uncharacterized","LOC111130073"
"XM_022476762.1","uncharacterized","LOC111130074"
"XM_022476763.1","eIF-2-alpha kinase GCN2-like","LOC111130075"
"XM_022476764.1","BRO1 domain-containing protein BROX-like","LOC111130076"
"XM_022476765.1","muscle M-line assembly protein unc-89-like","LOC111130077"
"XM_022476766.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476767.1","zinc finger FYVE domain-containing protein 26-like","LOC111130078"
"XM_022476768.1","zinc finger FYVE domain-containing protein 26-like","LOC111130078"
"XM_022476769.1","protein phosphatase 1 regulatory subunit 14C-like","LOC111130079"
"XM_022476770.1","uncharacterized","LOC111130080"
"XM_022476771.1","GRAM domain-containing protein 2B-like","LOC111130081"
"XM_022476772.1","GRAM domain-containing protein 2B-like","LOC111130081"
"XM_022476773.1","GRAM domain-containing protein 2B-like","LOC111130081"
"XM_022476774.1","GRAM domain-containing protein 2B-like","LOC111130081"
"XM_022476775.1","GRAM domain-containing protein 2B-like","LOC111130081"
"XM_022476776.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476777.1","myotubularin-related protein 10-A-like","LOC111130082"
"XM_022476778.1","syntaxin-5-like","LOC111130083"
"XM_022476779.1","epididymal secretory protein E1-like","LOC111130084"
"XM_022476780.1","zinc finger protein basonuclin-2-like","LOC111130085"
"XM_022476781.1","zinc finger protein basonuclin-2-like","LOC111130085"
"XM_022476782.1","zinc finger protein basonuclin-2-like","LOC111130085"
"XM_022476783.1","dual specificity protein phosphatase 10-like","LOC111130086"
"XM_022476784.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476785.1","probable ATP-dependent RNA helicase YTHDC2","LOC111130087"
"XM_022476786.1","transient receptor potential cation channel subfamily M member 2-like","LOC111130090"
"XM_022476787.1","transient receptor potential cation channel subfamily M member 2-like","LOC111130091"
"XM_022476788.1","gamma-tubulin complex component 4-like","LOC111130093"
"XM_022476789.1","60S ribosomal protein L4-like","LOC111130094"
"XM_022476790.1","cilia- and flagella-associated protein 36-like","LOC111130096"
"XM_022476791.1","hillarin-like","LOC111130097"
"XM_022476792.1","probable diaminopimelate decarboxylase, chloroplastic","LOC111130098"
"XM_022476793.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476794.1","probable diaminopimelate decarboxylase, chloroplastic","LOC111130098"
"XM_022476795.1","probable diaminopimelate decarboxylase, chloroplastic","LOC111130098"
"XM_022476796.1","collagen type IV alpha-3-binding protein-like","LOC111130099"
"XM_022476797.1","UPF0669 protein v1g209471-like","LOC111130100"
"XM_022476798.1","TATA-box-binding protein-like","LOC111130101"
"XM_022476799.1","patatin-like phospholipase domain-containing protein 7","LOC111130102"
"XM_022476800.1","acetyl-coenzyme A synthetase 2-like, mitochondrial","LOC111130103"
"XM_022476801.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476802.1","uncharacterized","LOC111130104"
"XM_022476803.1","uncharacterized","LOC111130104"
"XM_022476804.1","bifunctional glutamate/proline--tRNA ligase-like","LOC111130105"
"XM_022476805.1","carbonic anhydrase 2-like","LOC111130106"
"XM_022476806.1","carbonic anhydrase 2-like","LOC111130107"
"XM_022476807.1","carbonic anhydrase 2-like","LOC111130107"
"XM_022476808.1","carbonic anhydrase 2-like","LOC111130107"
"XM_022476809.1","carbonic anhydrase 2-like","LOC111130107"
"XM_022476810.1","carbonic anhydrase 2-like","LOC111130107"
"XM_022476811.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476812.1","carbonic anhydrase 2-like","LOC111130107"
"XM_022476813.1","CLK4-associating serine/arginine rich protein-like","LOC111130108"
"XM_022476814.1","methionine synthase reductase-like","LOC111130109"
"XM_022476815.1","collagen alpha-2(VI) chain-like","LOC111130110"
"XM_022476816.1","collagen alpha-2(VI) chain-like","LOC111130110"
"XM_022476817.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476818.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476819.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476820.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476821.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476822.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476823.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476824.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476825.1","serine/arginine repetitive matrix protein 1-like","LOC111130111"
"XM_022476826.1","kinetochore-associated protein 1-like","LOC111130112"
"XM_022476827.1","chromosome partition protein Smc-like","LOC111130113"
"XM_022476828.1","chromosome partition protein Smc-like","LOC111130113"
"XM_022476829.1","chromosome partition protein Smc-like","LOC111130113"
"XM_022476830.1","jouberin-like","LOC111130114"
"XM_022476831.1","jouberin-like","LOC111130114"
"XM_022476832.1","jouberin-like","LOC111130114"
"XM_022476833.1","NADH-cytochrome b5 reductase 3-like","LOC111130095"
"XM_022476834.1","rab3 GTPase-activating protein non-catalytic subunit-like","LOC111130115"
"XM_022476835.1","rab3 GTPase-activating protein non-catalytic subunit-like","LOC111130115"
"XM_022476836.1","isoleucine--tRNA ligase, mitochondrial-like","LOC111130116"
"XM_022476837.1","DNA repair protein XRCC3-like","LOC111130117"
"XM_022476838.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476839.1","threonine--tRNA ligase, cytoplasmic-like","LOC111130118"
"XM_022476840.1","threonine--tRNA ligase, cytoplasmic-like","LOC111130118"
"XM_022476841.1","peroxisomal sarcosine oxidase-like","LOC111130119"
"XM_022476842.1","spatacsin-like","LOC111130120"
"XM_022476843.1","serine palmitoyltransferase 2-like","LOC111130121"
"XM_022476844.1","XK-related protein 6-like","LOC111130122"
"XM_022476845.1","double-stranded RNA-specific adenosine deaminase-like","LOC111130123"
"XM_022476846.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476847.1","double-stranded RNA-specific adenosine deaminase-like","LOC111130123"
"XM_022476848.1","uncharacterized","LOC111130124"
"XM_022476849.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130125"
"XM_022476850.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130125"
"XM_022476851.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130125"
"XM_022476852.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130125"
"XM_022476853.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130125"
"XM_022476854.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130125"
"XM_022476855.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476856.1","neuronal acetylcholine receptor subunit alpha-6-like","LOC111130126"
"XM_022476857.1","neuronal acetylcholine receptor subunit alpha-6-like","LOC111130126"
"XM_022476858.1","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like","LOC111130127"
"XM_022476859.1","neuronal acetylcholine receptor subunit alpha-10-like","LOC111130128"
"XM_022476860.1","fibroin heavy chain-like","LOC111130129"
"XM_022476861.1","spidroin-1-like","LOC111130130"
"XM_022476862.1","spidroin-1-like","LOC111130131"
"XM_022476863.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476864.1","spidroin-1-like","LOC111130132"
"XM_022476865.1","spidroin-2-like","LOC111130133"
"XM_022476866.1","spidroin-2-like","LOC111130134"
"XM_022476867.1","shematrin-like protein 2","LOC111130135"
"XM_022476868.1","uncharacterized","LOC111130137"
"XM_022476869.1","insulin-like peptide receptor","LOC111130138"
"XM_022476870.1","cytosolic carboxypeptidase 2-like","LOC111129975"
"XM_022476871.1","uncharacterized","LOC111130139"
"XM_022476872.1","papilin-like","LOC111130140"
"XM_022476873.1","uncharacterized","LOC111130141"
"XM_022476874.1","limbic system-associated membrane protein-like","LOC111130142"
"XM_022476875.1","limbic system-associated membrane protein-like","LOC111130142"
"XM_022476876.1","limbic system-associated membrane protein-like","LOC111130142"
"XM_022476877.1","ovomucoid-like","LOC111130143"
"XM_022476878.1","uncharacterized","LOC111130145"
"XM_022476879.1","protein STPG4-like","LOC111130146"
"XM_022476880.1","protein STPG4-like","LOC111130146"
"XM_022476881.1","sodium-dependent proline transporter-like","LOC111130147"
"XM_022476882.1","sodium-dependent proline transporter-like","LOC111130147"
"XM_022476883.1","uncharacterized","LOC111130148"
"XM_022476884.1","uncharacterized","LOC111130148"
"XM_022476885.1","symplekin-like","LOC111130150"
"XM_022476886.1","cyclic nucleotide-gated cation channel alpha-3-like","LOC111130151"
"XM_022476887.1","cyclic nucleotide-gated cation channel alpha-3-like","LOC111130151"
"XM_022476888.1","cyclic nucleotide-gated cation channel alpha-3-like","LOC111130151"
"XM_022476889.1","uncharacterized","LOC111130149"
"XM_022476890.1","bromodomain adjacent to zinc finger domain protein 1A-like","LOC111130152"
"XM_022476891.1","bromodomain adjacent to zinc finger domain protein 1A-like","LOC111130152"
"XM_022476892.1","GTPase IMAP family member 4-like","LOC111130153"
"XM_022476893.1","GTPase IMAP family member 4-like","LOC111130153"
"XM_022476894.1","GTPase IMAP family member 4-like","LOC111130153"
"XM_022476895.1","uncharacterized","LOC111130154"
"XM_022476896.1","uncharacterized","LOC111130154"
"XM_022476897.1","GTPase IMAP family member 4-like","LOC111130155"
"XM_022476898.1","GTPase IMAP family member 4-like","LOC111130155"
"XM_022476899.1","GTPase IMAP family member 4-like","LOC111130155"
"XM_022476900.1","uncharacterized","LOC111130156"
"XM_022476901.1","uncharacterized","LOC111130156"
"XM_022476902.1","uncharacterized","LOC111130156"
"XM_022476903.1","sorting nexin-6-like","LOC111130157"
"XM_022476904.1","sorting nexin-6-like","LOC111130157"
"XM_022476905.1","G-protein coupled receptor Mth-like","LOC111130158"
"XM_022476906.1","G-protein coupled receptor Mth-like","LOC111130158"
"XM_022476907.1","G-protein coupled receptor Mth-like","LOC111130158"
"XM_022476908.1","uncharacterized","LOC111130159"
"XM_022476909.1","uncharacterized","LOC111130159"
"XM_022476910.1","cytochrome P450 2C8-like","LOC111130160"
"XM_022476911.1","cytochrome P450 2C28-like","LOC111130162"
"XM_022476912.1","cytochrome P450 2C28-like","LOC111130162"
"XM_022476913.1","cytochrome P450 2C8-like","LOC111130163"
"XM_022476914.1","NADH-cytochrome b5 reductase 3-like","LOC111130095"
"XM_022476915.1","uncharacterized","LOC111130161"
"XM_022476916.1","cartilage matrix protein-like","LOC111130164"
"XM_022476917.1","SHC-transforming protein 1-like","LOC111130165"
"XM_022476918.1","adenylosuccinate synthetase-like","LOC111130166"
"XM_022476919.1","uncharacterized","LOC111130167"
"XM_022476920.1","uncharacterized","LOC111130168"
"XM_022476921.1","uncharacterized","LOC111130168"
"XM_022476922.1","uncharacterized","LOC111130168"
"XM_022476923.1","uncharacterized","LOC111130168"
"XM_022476924.1","uncharacterized","LOC111130170"
"XM_022476925.1","uncharacterized","LOC111130170"
"XM_022476926.1","coiled-coil domain-containing protein 170-like","LOC111130171"
"XM_022476927.1","coiled-coil domain-containing protein 170-like","LOC111130171"
"XM_022476928.1","uncharacterized","LOC111130169"
"XM_022476929.1","uncharacterized","LOC111130172"
"XM_022476930.1","uncharacterized","LOC111130173"
"XM_022476931.1","uncharacterized","LOC111130174"
"XM_022476932.1","estrogen sulfotransferase-like","LOC111130175"
"XM_022476933.1","estrogen sulfotransferase-like","LOC111130175"
"XM_022476934.1","estrogen sulfotransferase-like","LOC111130175"
"XM_022476935.1","estrogen sulfotransferase-like","LOC111130175"
"XM_022476936.1","sulfotransferase family cytosolic 1B member 1-like","LOC111130176"
"XM_022476937.1","uncharacterized","LOC111130178"
"XM_022476938.1","uncharacterized","LOC111130178"
"XM_022476939.1","uncharacterized","LOC111130178"
"XM_022476940.1","uncharacterized","LOC111130178"
"XM_022476941.1","phytochrome-interacting ankyrin-repeat protein 2-like","LOC111130177"
"XM_022476942.1","complex I intermediate-associated protein 30, mitochondrial-like","LOC111130179"
"XM_022476943.1","complex I intermediate-associated protein 30, mitochondrial-like","LOC111130179"
"XM_022476944.1","complex I intermediate-associated protein 30, mitochondrial-like","LOC111130179"
"XM_022476945.1","calcineurin B homologous protein 1-like","LOC111130180"
"XM_022476946.1","mediator of RNA polymerase II transcription subunit 27-A-like","LOC111130181"
"XM_022476947.1","Golgi phosphoprotein 3 homolog sauron-like","LOC111130183"
"XM_022476948.1","tyrosine-protein phosphatase non-receptor type 14-like","LOC111130184"
"XM_022476949.1","uncharacterized","LOC111130186"
"XM_022476950.1","coiled-coil domain-containing protein 87-like","LOC111130187"
"XM_022476951.1","coiled-coil domain-containing protein 87-like","LOC111130187"
"XM_022476952.1","uncharacterized","LOC111130185"
"XM_022476953.1","coiled-coil domain-containing protein 87-like","LOC111130187"
"XM_022476954.1","tRNA (adenine(37)-N6)-methyltransferase-like","LOC111130188"
"XM_022476955.1","tRNA (adenine(37)-N6)-methyltransferase-like","LOC111130188"
"XM_022476956.1","acid phosphatase type 7-like","LOC111130189"
"XM_022476957.1","antistasin-like","LOC111130190"
"XM_022476958.1","serine palmitoyltransferase 2-like","LOC111130191"
"XM_022476959.1","serine palmitoyltransferase 2-like","LOC111130191"
"XM_022476960.1","protein transport protein Sec23A-like","LOC111130192"
"XM_022476961.1","uncharacterized","LOC111130185"
"XM_022476962.1","protein transport protein Sec23A-like","LOC111130192"
"XM_022476963.1","protein transport protein Sec23A-like","LOC111130192"
"XM_022476964.1","protein transport protein Sec23A-like","LOC111130192"
"XM_022476965.1","threonine aspartase 1-like","LOC111130193"
"XM_022476966.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476967.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476968.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476969.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476970.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476971.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476972.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476973.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111130194"
"XM_022476974.1","anoctamin-8-like","LOC111130196"
